    1.472 INFO     Updating inventory 29: CF-111-CoE-Demo
    1.736 WARNING  Host "CB-Elasticenter-SDX-Test" has no "id" variable
    1.736 WARNING  Host "IW-ISP-MPLS-1" has no "id" variable
    1.736 WARNING  Host "VC_Nimesa" has no "id" variable
    1.736 WARNING  Host "nexenta-auto" has no "id" variable
    1.736 WARNING  Host "sds1" has no "id" variable
    1.736 WARNING  Host "sds2" has no "id" variable
    1.736 WARNING  Host "Nexentastor4-cobbler" has no "id" variable
    1.736 WARNING  Host "M-Controller2" has no "id" variable
    1.736 WARNING  Host "M-Controller1" has no "id" variable
    1.736 WARNING  Host "AnsibleMaster" has no "id" variable
    1.736 WARNING  Host "Ansible-Network" has no "id" variable
    1.736 WARNING  Host "Nutanix_Foundation_VM-3.10" has no "id" variable
    1.736 WARNING  Host "IV-HUB-MPLS-Juniper vSRX" has no "id" variable
    1.736 WARNING  Host "SDX_Win2k8_0001" has no "id" variable
    1.736 WARNING  Host "ManageIQ" has no "id" variable
    1.736 WARNING  Host "manageiqrpm" has no "id" variable
    1.736 WARNING  Host "graylog-beta" has no "id" variable
    1.736 WARNING  Host "MidoNSDB VM1" has no "id" variable
    1.736 WARNING  Host "test-bu01user" has no "id" variable
    1.736 WARNING  Host "TestKarthik" has no "id" variable
    1.737 WARNING  Host "aci-compute" has no "id" variable
    1.737 WARNING  Host "sdx-cent70003" has no "id" variable
    1.737 WARNING  Host "IW-H-CORE-1" has no "id" variable
    1.737 WARNING  Host "ansiblemariadb_new" has no "id" variable
    1.737 WARNING  Host "ECV-8153" has no "id" variable
    1.737 WARNING  Host "Avi Cloud Controller" has no "id" variable
    1.737 WARNING  Host "minion1" has no "id" variable
    1.814 WARNING  Host "Elastistor-Jyoti_Test2" has no "id" variable
    1.814 WARNING  Host "ISE" has no "id" variable
    1.814 WARNING  Host "minion2" has no "id" variable
    1.814 WARNING  Host "SDX-COE-1" has no "id" variable
    1.814 WARNING  Host "BR-TGEN" has no "id" variable
    1.814 WARNING  Host "IBM Power RM" has no "id" variable
    1.814 WARNING  Host "Ceph-Radosgw" has no "id" variable
    1.814 WARNING  Host "MasterServer_2" has no "id" variable
    1.814 WARNING  Host "MDM" has no "id" variable
    1.814 WARNING  Host "BVD-Server" has no "id" variable
    1.814 WARNING  Host "Host1-App" has no "id" variable
    1.815 WARNING  Host "iWAN-Web-Server" has no "id" variable
    1.815 WARNING  Host "NCX-39 Trial-SDNLAB" has no "id" variable
    1.815 WARNING  Host "SUSE CLOUD SMT" has no "id" variable
    1.815 WARNING  Host "CG-ION3102v-Branch2" has no "id" variable
    1.815 WARNING  Host "PCIDSS-Test-LAP" has no "id" variable
    1.815 WARNING  Host "CumulusVX-leaf1" has no "id" variable
    1.815 WARNING  Host "ACI-WL-ASAv" has no "id" variable
    1.815 WARNING  Host "IW-BRANCH3" has no "id" variable
    1.815 WARNING  Host "iotlinux" has no "id" variable
    1.815 WARNING  Host "comvault-proxy-server" has no "id" variable
    1.815 WARNING  Host "openstack-jcontrail1" has no "id" variable
    1.815 WARNING  Host "UnderCloud_10_Telco" has no "id" variable
    1.815 WARNING  Host "VSRX-Contrail" has no "id" variable
    1.815 WARNING  Host "BCF Controller 4.1.1" has no "id" variable
    1.815 WARNING  Host "ACI-WL-NETVPX-CLNT2" has no "id" variable
    1.815 WARNING  Host "IV-BR-I-PC--Windows 2K8 server" has no "id" variable
    1.815 WARNING  Host "CloudFormsUI01" has no "id" variable
    1.815 WARNING  Host "WPMServer_OMi" has no "id" variable
    1.815 WARNING  Host "ACI-VM-1" has no "id" variable
    1.815 WARNING  Host "Zenoss_deployment (1)" has no "id" variable
    1.816 WARNING  Host "Undercloud" has no "id" variable
    1.816 WARNING  Host "Openstack_1" has no "id" variable
    1.816 WARNING  Host "MidoNet Control VM1" has no "id" variable
    1.816 WARNING  Host "Zenoss_deployment" has no "id" variable
    1.816 WARNING  Host "TSG-RTR3" has no "id" variable
    1.816 WARNING  Host "TSG-RTR2" has no "id" variable
    1.816 WARNING  Host "TSG-RTR1" has no "id" variable
    1.816 WARNING  Host "Jenkin_Cent" has no "id" variable
    1.816 WARNING  Host "IW-BRANCH-2" has no "id" variable
    1.816 WARNING  Host "Jump-Box" has no "id" variable
    1.816 WARNING  Host "Cisco Nexus Fabric Manager-T7" has no "id" variable
    1.816 WARNING  Host "IW-H-WEBSERVER" has no "id" variable
    1.816 WARNING  Host "Cisco Prime Infrastructure Virtual Appliance" has no "id" variable
    1.816 WARNING  Host "NCDE-WS1" has no "id" variable
    1.816 WARNING  Host "NTP" has no "id" variable
    1.816 WARNING  Host "wow24nov" has no "id" variable
    1.816 WARNING  Host "Vcenter_demo_Ashok_2" has no "id" variable
    1.816 WARNING  Host "ACI-WL-NETVPX-WEB1" has no "id" variable
    1.816 WARNING  Host "ACI-WL-ASACLNT" has no "id" variable
    1.816 WARNING  Host "Comvlt_Training_7" has no "id" variable
    1.816 WARNING  Host "NCDE-DB-1" has no "id" variable
    1.817 WARNING  Host "ansible-tower" has no "id" variable
    1.817 WARNING  Host "testbu01" has no "id" variable
    1.817 WARNING  Host "ACI-WL-NETVPX-CLNT" has no "id" variable
    1.817 WARNING  Host "Cliqr-CSO-centos6-vmware-aci-2" has no "id" variable
    1.817 WARNING  Host "ACI-WL-AVS-WEB1" has no "id" variable
    1.817 WARNING  Host "ACI-WL-AVS-WEB2" has no "id" variable
    1.817 WARNING  Host "75.91 Demo Ubuntu Server" has no "id" variable
    1.817 WARNING  Host "aviatrix-N-Virgina-GW-A@172.31.31.153" has no "id" variable
    1.817 WARNING  Host "OpenShiftAdmin" has no "id" variable
    1.817 WARNING  Host "CentOS_DC1" has no "id" variable
    1.817 WARNING  Host "admin-node" has no "id" variable
    1.817 WARNING  Host "NexentaEdge-Dep" has no "id" variable
    1.817 WARNING  Host "NexentaFusion-1.1.1.6_Dev_Jyoti" has no "id" variable
    1.817 WARNING  Host "IV-BRANCH-I-Juniper vSRX" has no "id" variable
    1.817 WARNING  Host "datanode1" has no "id" variable
    1.817 WARNING  Host "Master_1" has no "id" variable
    1.817 WARNING  Host "Elasticenter-Jyoti_Test2" has no "id" variable
    1.817 WARNING  Host "datanode2" has no "id" variable
    1.817 WARNING  Host "VM2-App2" has no "id" variable
    1.817 WARNING  Host "ansible" has no "id" variable
    1.818 WARNING  Host "SME-Ceph" has no "id" variable
    1.818 WARNING  Host "demo_test31" has no "id" variable
    1.818 WARNING  Host "Windows_NImesa_test_New_cl_Oct_06_2017_20-38-47" has no "id" variable
    1.818 WARNING  Host "CloudForm45_113_POD_JAN18" has no "id" variable
    1.818 WARNING  Host "Holmes-Cent6" has no "id" variable
    1.818 WARNING  Host "ASAv" has no "id" variable
    1.818 WARNING  Host "VCF_DNS" has no "id" variable
    1.818 WARNING  Host "Anuta-NCX62-2.150" has no "id" variable
    1.818 WARNING  Host "BIG-IP VE Ansible" has no "id" variable
    1.818 WARNING  Host "VMware vRealize Network Insight Platform" has no "id" variable
    1.818 WARNING  Host "Holmes-Cent7" has no "id" variable
    1.818 WARNING  Host "Python_win2k12" has no "id" variable
    1.818 WARNING  Host "Jump-2-Ros" has no "id" variable
    1.818 WARNING  Host "Ansible-ACI-DHCP" has no "id" variable
    1.818 WARNING  Host "DHCP Server" has no "id" variable
    1.818 WARNING  Host "ContrailCompute2" has no "id" variable
    1.818 WARNING  Host "AnsibleClient1" has no "id" variable
    1.818 WARNING  Host "SatNode_1" has no "id" variable
    1.819 WARNING  Host "AnsibleClient2" has no "id" variable
    1.819 WARNING  Host "CB-ElastiStor-SDX-Test" has no "id" variable
    1.819 WARNING  Host "ACI-WL-ARRAY-CLNT" has no "id" variable
    1.819 WARNING  Host "cent-pack1" has no "id" variable
    1.819 WARNING  Host "ContrailConfig" has no "id" variable
    1.819 WARNING  Host "NexentaFusion 1.0.0.34" has no "id" variable
    1.819 WARNING  Host "Mon-Nagios" has no "id" variable
    1.819 WARNING  Host "tsgnix01" has no "id" variable
    1.819 WARNING  Host "SDX-COE-21" has no "id" variable
    1.819 WARNING  Host "DNAC-EFT" has no "id" variable
    1.819 WARNING  Host "APIC-EM" has no "id" variable
    1.819 WARNING  Host "Cisco Nexus Fabric Manager" has no "id" variable
    1.819 WARNING  Host "Linux Migration" has no "id" variable
    1.819 WARNING  Host "Cisco CSR1000v Anuta" has no "id" variable
    1.819 WARNING  Host "Undercloud-RHOSP12" has no "id" variable
    1.819 WARNING  Host "ACI-WL-ASAWEB" has no "id" variable
    1.819 WARNING  Host "ACI-WL-ARRAY-WEB2" has no "id" variable
    1.819 WARNING  Host "ACI-WL-ARRAY-WEB1" has no "id" variable
    1.819 WARNING  Host "NetBrain" has no "id" variable
    1.819 WARNING  Host "IM" has no "id" variable
    1.819 WARNING  Host "Cvlt-mediaserver" has no "id" variable
    1.820 WARNING  Host "IV-HUB-INET-Juniper vSRX" has no "id" variable
    1.820 WARNING  Host "CentOS-DC_new" has no "id" variable
    1.820 WARNING  Host "SQL-1-Nutanix" has no "id" variable
    1.820 WARNING  Host "RHEVM" has no "id" variable
    1.820 WARNING  Host "Openshift Worker Node-2" has no "id" variable
    1.820 WARNING  Host "SDI-Client" has no "id" variable
    1.820 WARNING  Host "openshiftmastertest" has no "id" variable
    1.820 WARNING  Host "IW-HUB-PC" has no "id" variable
    1.820 WARNING  Host "ANS-CNT" has no "id" variable
    1.820 WARNING  Host "IV-VIPE-S-BRANCH-I" has no "id" variable
    1.820 WARNING  Host "P2V-DLR-0" has no "id" variable
    1.820 WARNING  Host "aci-liberty" has no "id" variable
    1.820 WARNING  Host "ACI-WL-F5-WEB1" has no "id" variable
    1.820 WARNING  Host "ACI-WL-F5-WEB2" has no "id" variable
    1.820 WARNING  Host "Satellite6" has no "id" variable
    1.820 WARNING  Host "ContrailCompute1" has no "id" variable
    1.820 WARNING  Host "IV-BR-II-TGEN" has no "id" variable
    1.820 WARNING  Host "ContrailCompute3" has no "id" variable
    1.820 WARNING  Host "WL-ACI-ASAv-UNMGD-CLNT" has no "id" variable
    1.820 WARNING  Host "LoadBalancer" has no "id" variable
    1.820 WARNING  Host "IV-VIPE-S-BRANCH-II" has no "id" variable
    1.821 WARNING  Host "openshift_scaleIO3" has no "id" variable
    1.821 WARNING  Host "openshift_scaleIO2" has no "id" variable
    1.821 WARNING  Host "openshift_scaleIO1" has no "id" variable
    1.821 WARNING  Host "DLR01-0" has no "id" variable
    1.821 WARNING  Host "NexentaStor5.0.1.0 Dev" has no "id" variable
    1.821 WARNING  Host "NTNX-16AP6B330005-C-CVM" has no "id" variable
    1.821 WARNING  Host "winchefclient" has no "id" variable
    1.821 WARNING  Host "Cloudbyte-Elasticenter" has no "id" variable
    1.851 INFO     Deleted host "ash-new-3"
    1.878 INFO     Deleted host "ash-tst-4"
    1.890 INFO     Deleted host "AviatrixController"
    1.903 INFO     Deleted host "aviatrix-nvirginia-1@172.31.5.171"
    1.915 INFO     Deleted host "aviatrix-nvirginia-1-hagw@172.31.5.171"
    1.927 INFO     Deleted host "aws-testjan4"
    1.939 INFO     Deleted host "BIG-IP"
    1.951 INFO     Deleted host "cent-pack1"
    1.963 INFO     Deleted host "cent-repo"
    1.975 INFO     Deleted host "comvault-proxy-server"
    1.987 INFO     Deleted host "Cvlt-mediaserver"
    1.999 INFO     Deleted host "DHCP Server"
    2.011 INFO     Deleted host "Holmes-Cent6"
    2.023 INFO     Deleted host "Holmes-Cent7"
    2.035 INFO     Deleted host "jan2-18-sdx-demo"
    2.047 INFO     Deleted host "Nimesa_test"
    2.059 INFO     Deleted host "puppetagent1234"
    2.071 INFO     Deleted host "Puppet Master"
    2.083 INFO     Deleted host "QOS"
    2.095 INFO     Deleted host "SDX-COE-21"
    2.114 INFO     Deleted host "sdx-coe-51"
    2.127 INFO     Deleted host "sdx-coe-54"
    2.144 INFO     Deleted host "sdx-hea01"
    2.156 INFO     Deleted host "sdxnix05"
    2.168 INFO     Deleted host "SDX_Win2k8_0001"
    2.180 INFO     Deleted host "testbu01"
    2.192 INFO     Deleted host "test-bu01user"
    2.204 INFO     Deleted host "tsgnix01"
    2.216 INFO     Deleted host "windows"
    2.228 INFO     Deleted host "windowtest"
    2.281 INFO     Group "ec2_34_193_109_28_compute_1_amazonaws_com" deleted
    2.318 INFO     Group "ec2_34_201_160_137_compute_1_amazonaws_com" deleted
    2.356 INFO     Group "ec2_34_207_114_95_compute_1_amazonaws_com" deleted
    2.392 INFO     Group "ec2_34_207_249_171_compute_1_amazonaws_com" deleted
    2.428 INFO     Group "ec2_34_227_9_106_compute_1_amazonaws_com" deleted
    2.464 INFO     Group "ec2_34_230_68_168_compute_1_amazonaws_com" deleted
    2.500 INFO     Group "ec2_54_172_18_45_compute_1_amazonaws_com" deleted
    2.536 INFO     Group "ec2_54_174_66_81_compute_1_amazonaws_com" deleted
    2.573 INFO     Group "ec2_54_89_83_56_compute_1_amazonaws_com" deleted
    2.610 INFO     Group "_managed_department_bu01_presales" deleted
    2.725 INFO     Group "cf-111-grp" variables unmodified
    2.731 INFO     Group "amazon" variables unmodified
    2.731 INFO     Group "cent_pack1_cent_pack1_vmx" variables unmodified
    2.732 INFO     Group "DHCPServer_DHCPServer_vmx" variables unmodified
    2.732 INFO     Group "ec2_34_225_52_141_compute_1_amazonaws_com" variables unmodified
    2.732 INFO     Group "Holmes_Cent6_Holmes_Cent6_vmx" variables unmodified
    2.732 INFO     Group "Holmes_Cent7_Holmes_Cent7_vmx" variables unmodified
    2.732 INFO     Group "jan2_18_sdx_demo_jan2_18_sdx_demo_vmx" variables unmodified
    2.732 INFO     Group "location" variables unmodified
    2.733 INFO     Group "_managed_folder_path_blue_datacenters_sdx_demo_vm" variables unmodified
    2.733 INFO     Group "_managed_folder_path_blue_datacenters_sdx_demo_vm_discovered_virtual_machine" variables unmodified
    2.733 INFO     Group "ManageIQ__Providers__Amazon__CloudManager__Vm" variables unmodified
    2.733 INFO     Group "ManageIQ__Providers__Openstack__CloudManager__Vm" variables unmodified
    2.733 INFO     Group "ManageIQ__Providers__Vmware__InfraManager__Vm" variables unmodified
    2.733 INFO     Group "Nimesa_test_Nimesa_test_vmx" variables unmodified
    2.733 INFO     Group "openstack" variables unmodified
    2.733 INFO     Group "SDX_COE_21_SDX_COE_21_vmx" variables unmodified
    2.733 INFO     Group "sdx_coe_51_sdx_coe_51_vmx" variables unmodified
    2.734 INFO     Group "sdx_coe_54_sdx_coe_54_vmx" variables unmodified
    2.734 INFO     Group "sdx_hea01_sdx_hea01_vmx" variables unmodified
    2.734 INFO     Group "sdxnix05_sdxnix05_vmx" variables unmodified
    2.734 INFO     Group "SDX_Win2k8_0001_SDX_Win2k8_0001_vmx" variables unmodified
    2.734 INFO     Group "tags" variables unmodified
    2.734 INFO     Group "testbu01_testbu01_vmx" variables unmodified
    2.734 INFO     Group "tsgnix01_tsgnix01_vmx" variables unmodified
    2.735 INFO     Group "type" variables unmodified
    2.735 INFO     Group "unknown" variables unmodified
    2.735 INFO     Group "vendor" variables unmodified
    2.735 INFO     Group "vmware" variables unmodified
    2.735 INFO     Group "windowtest_windowtest_vmx" variables unmodified
    2.743 INFO     Group "05987959_f4b4_321e_e1f4_0025b5111a08_WorkerNode_2_vmx" added
    2.750 INFO     Group "2aa76c59_b435_a637_e463_0025b5111a00_SatNode_1_vmx" added
    2.756 INFO     Group "2c987959_cc67_ce00_699a_0025b5111a00_WorkerNode_3_vmx" added
    2.762 INFO     Group "2eeb0958_04b1_34dc_a373_0025b5111a00_NetBrain_vmx" added
    2.768 INFO     Group "34be7559_ec0e_09ad_97fa_0025b5111a00_ACI_WL_AVS_WEB1_vmx" added
    2.774 INFO     Group "48_90WindowsMachine_48_90WindowsMachine_vmx" added
    2.780 INFO     Group "48_91DemoUbuntuServer_48_91DemoUbuntuServer_vmx" added
    2.786 INFO     Group "48_92AnsibleDemoServer_48_92AnsibleDemoServer_vmx" added
    2.792 INFO     Group "5_1_2_prism_central_5_1_2_prism_central_vmx" added
    2.798 INFO     Group "5ecf2658_071b_4411_a748_a050bd4ec831_ovf" added
    2.804 INFO     Group "9d193f9c_2aa9_4ef4_a958_be8f62a6c563_ovf" added
    2.810 INFO     Group "ACITestServerUbuntu14_ACITestServerUbuntu14_vmx" added
    2.817 INFO     Group "ACI_COMPUTE_ACI_COMPUTE_vmx" added
    2.823 INFO     Group "ACI_VM_1_ACI_VM_1_vmx" added
    2.828 INFO     Group "ACI_WL_ARRAY_ACI_WL_ARRAY_vmx" added
    2.834 INFO     Group "ACI_WL_ARRAY_CLNT_ACI_WL_ARRAY_CLNT_vmx" added
    2.839 INFO     Group "ACI_WL_ARRAY_WEB1_ACI_WL_ARRAY_WEB1_vmx" added
    2.846 INFO     Group "ACI_WL_ARRAY_WEB2_ACI_WL_ARRAY_WEB2_vmx" added
    2.851 INFO     Group "ACI_WL_ASACLNT_ACI_WL_ASACLNT_vmx" added
    2.858 INFO     Group "ACI_WL_ASAWEB_ACI_WL_ASAWEB_vmx" added
    2.864 INFO     Group "ACI_WL_ASAv_ACI_WL_ASAv_vmx" added
    2.870 INFO     Group "ACI_WL_ASAv_UNMGD_WEB1_ACI_WL_ASAv_UNMGD_WEB1_vmx" added
    2.875 INFO     Group "ACI_WL_AVS_WEB2_ACI_WL_AVS_WEB2_vmx" added
    2.882 INFO     Group "ACI_WL_F5_CLNT_ACI_WL_F5_CLNT_vmx" added
    2.888 INFO     Group "ACI_WL_F5_WEB1_ACI_WL_F5_WEB1_vmx" added
    2.895 INFO     Group "ACI_WL_F5_WEB2_ACI_WL_F5_WEB2_vmx" added
    2.901 INFO     Group "ACI_WL_NETVPX_CLNT2_ACI_WL_NETVPX_CLNT2_vmx" added
    2.907 INFO     Group "ACI_WL_NETVPX_CLNT_ACI_WL_NETVPX_CLNT_vmx" added
    2.913 INFO     Group "ACI_WL_NETVPX_WEB1_ACI_WL_NETVPX_WEB1_vmx" added
    2.918 INFO     Group "ACI_WL_NETVPX_WEB2_ACI_WL_NETVPX_WEB2_vmx" added
